Completed Installations,Council District,Address,City and Zip,Hydration Station Operational Status,No. of Hydration Stations,No. of Water Fountains,No. of Restrooms,No. of Sinks,No. of Toilets,No. of Urinals,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Hyde Park Miriam Matthews Branch Library,8,2205 W. Florence Avenue Los,"Los Angeles, CA 90043",Operational No issues.,1,0,2,4,3,1,33.97475,-118.31805,1,rooftop,2205,W Florence Ave,,,Los Angeles,CA,Los Angeles County,90043,US,City of Los Angeles (CC0 1.0)
Jefferson - Vassie D. Wright Memorial Branch Library,10,2211 W. Jefferson Boulevard,"Los Angeles, CA 90018",Operational No issues.,1,0,2,4,3,1,34.02569,-118.31924,1,rooftop,2211,W Jefferson Blvd,,,Los Angeles,CA,Los Angeles County,90018,US,City of Los Angeles (CC0 1.0)
John C. Fremont Branch Library,4,6121 Melrose Avenue Los,"Los Angeles, CA 90038",Operational No issues.,1,0,2,4,3,1,34.08362,-118.33372,1,rooftop,6121,W Melrose Ave,,,Los Angeles,CA,Los Angeles County,90038,US,City of Los Angeles (CC0 1.0)
John Muir Branch Library,8,1005 W. 64th Street Los,"Los Angeles, CA 90044",Operational No issues.,1,1,2,2,3,1,33.98153,-118.29218,1,rooftop,1005,W 64th St,,,Los Angeles,CA,Los Angeles County,90044,US,City of Los Angeles (CC0 1.0)
Junipero Serra Branch Library,9,4607 S. Main Street Los,"Los Angeles, CA 90038",Operational No issues.,1,0,2,2,2,0,34.00167,-118.27419,1,rooftop,4607,S Main St,,,Los Angeles,CA,Los Angeles County,90037,US,City of Los Angeles (CC0 1.0)
Lake View Terrace Branch Library,7,12002 Osborne Street,"Los Angeles, CA 90044",Operational No issues.,1,1,2,2,3,1,33.938108,-118.285706,0.5,place,,,,,Los Angeles,CA,Los Angeles County,90044,US,TIGER/Line® dataset from the US Census Bureau
Lincoln Heights Branch Library,1,2530 Workman Street,"Los Angeles, CA 90031",Operational No issues.,1,2,2,4,3,1,34.07625,-118.21428,1,rooftop,2530,N Workman St,,,Los Angeles,CA,Los Angeles County,90031,US,City of Los Angeles (CC0 1.0)
Little Tokyo Branch Library,14,203 S. Los Angeles Street,"Los Angeles, CA 90012",Operational No issues.,1,1,2,4,3,1,34.05021,-118.24366,1,rooftop,203,S Los Angeles St,,,Los Angeles,CA,Los Angeles County,90012,US,City of Los Angeles (CC0 1.0)
Los Feliz Branch Library,4,1874 Hillhurst Avenue Los,"Los Angeles, CA 90027",Operational No issues.,1,1,4,4,4,1,34.10525,-118.28723,1,rooftop,1874,N Hillhurst Ave,,,Los Angeles,CA,Los Angeles County,90027,US,City of Los Angeles (CC0 1.0)
Malabar Branch Library,14,2801 Wabash Avenue,"Los Angeles, CA 90033",Operational No issues.,1,0,2,2,2,0,34.05059,-118.19785,1,rooftop,2801,E Wabash Ave,,,Los Angeles,CA,Los Angeles County,90033,US,City of Los Angeles (CC0 1.0)
Mar Vista Branch Library,11,12006 Venice Boulevard Los,"Los Angeles, CA 90066",Operational No issues.,2,0,2,4,3,1,34.00591,-118.42897,1,rooftop,12006,W Venice Blvd,,,Los Angeles,CA,Los Angeles County,90066,US,City of Los Angeles (CC0 1.0)
Mark Twain Branch Library,8,9621 S. Figueroa Street Los,"Los Angeles, CA 90003",Operational No issues.,1,0,2,4,4,2,33.94867,-118.28292,1,rooftop,9621,S Figueroa St,,,Los Angeles,CA,Los Angeles County,90003,US,City of Los Angeles (CC0 1.0)
Memorial Branch Library,4,4625 W. Olympic Blvsd.,"Los Angeles, CA 90019",Operational No issues.,1,0,2,4,3,1,34.05658,-118.33186,1,rooftop,4625,W Olympic Blvd,,,Los Angeles,CA,Los Angeles County,90019,US,City of Los Angeles (CC0 1.0)
Mid-Valley Regional Branch Library,12,16244 Nordhoff Street,"North Hills, CA 91343",Operational No issues.,1,1,2,4,3,1,34.23547,-118.48623,1,rooftop,16244,W Nordhoff St,,,North Hills,CA,Los Angeles County,91343,US,City of Los Angeles (CC0 1.0)
"North Hollywood Amelia Earhart Regional Branch
Library",2,5211 Tujunga Avenue,"North Hollywood, CA 91601",Operational No issues.,1,1,2,4,5,1,34.16526,-118.37921,1,rooftop,5211,N Tujunga Ave,,,North Hollywood,CA,Los Angeles County,91601,US,City of Los Angeles (CC0 1.0)
Northridge Branch Library,12,9051 Darby Avenue,"Northridge, CA 91325",Operational No issues.,1,1,2,3,4,1,34.23517,-118.53402,1,rooftop,9051,N Darby Ave,,,Northridge,CA,Los Angeles County,91325,US,City of Los Angeles (CC0 1.0)
Pacoima Branch Library,7,13605 Van Nuys Boulevard,Pacoima CA 91331,Operational No issues.,1,0,2,4,3,1,34.26121,-118.42918,1,rooftop,13605,W Van Nuys Blvd,,,Pacoima,CA,Los Angeles County,91331,US,City of Los Angeles (CC0 1.0)
Palisades Branch Library,11,861 Alma Real Drive,"Pacific Palisades, CA 90272",Operational No issues.,1,2,2,4,4,1,34.04437,-118.52499,1,rooftop,861,N Alma Real Dr,,,Pacific Palisades,CA,Los Angeles County,90272,US,City of Los Angeles (CC0 1.0)
